xmin,xmax,ymin,ymax,zmin,zmax,noproofsolve,bcproofsolve,bcverify,gacproofsolve,gacverify
-4,-3,7,14,7,17,64,2793,59130,9935,71331,
1,2,-3,6,5,13,347,10362,75514,12203,76687,
9,14,4,5,1,5,56,2835,60432,4650,62403,
-3,-1,-11,-7,-7,-3,61,2437,58938,5709,63857,
5,15,11,16,6,16,58,3072,60754,37612,113404,
3,8,0,0,-10,-4,58,2341,58005,3239,62526,
-2,1,-8,-5,0,11,233,6411,68230,14267,75742,
6,14,6,7,3,10,61,2897,59888,8923,69173,
-8,-7,1,6,-1,6,52,3027,60965,6290,65465,
-5,2,2,8,1,12,350,8747,74971,45745,121098,
1,12,3,5,-2,2,58,2848,59387,11041,73618,
-2,5,-10,-10,-10,-8,162,7127,73236,3035,60132,
-12,-5,11,20,-8,1,49,3328,61778,39382,118685,
4,9,4,7,9,13,56,2871,59416,7793,68485,
12,16,-3,-1,-6,-2,53,3256,61985,5462,64301,
-9,-4,-9,-7,-12,-5,61,3367,61490,9322,69524,
-12,-8,2,11,-9,1,51,3171,61866,27187,99544,
-4,0,12,12,-5,1,129,6527,68523,3225,60169,
4,14,4,6,-1,-1,59,2859,59263,3857,61585,
-5,-2,-8,-7,13,20,257,7789,72759,5551,65166,
-7,2,13,19,6,20,258,9081,76960,61885,147788,
10,20,-13,-12,2,15,51,3536,64289,16436,80101,
13,16,3,13,-12,-5,60,3483,61341,19961,86338,
14,23,2,12,14,27,58,3442,60637,77665,167402,
0,4,14,28,4,18,267,9303,73848,69532,157115,
10,19,-15,-15,3,18,50,3333,61234,9147,73095,
6,19,-8,-2,3,6,49,3573,61454,21643,89546,
0,7,-4,-4,10,12,50,2396,62361,2550,59777,
-4,-3,13,25,10,18,50,2817,59914,12892,75637,
-1,11,3,15,14,25,325,12342,81488,178279,297813,
1,6,4,17,-15,-4,56,2789,61649,50316,127833,
9,11,-16,0,-4,-2,71,5513,68407,10597,72713,
13,14,4,4,-4,-2,56,2682,61618,1522,57158,
8,18,-1,8,16,23,327,17155,101069,61709,145994,
-12,-7,7,8,4,10,54,3169,60372,5845,64848,
-5,10,-5,-4,3,16,379,14715,90449,28063,99742,
-8,5,11,25,1,11,156,10431,80672,112550,232661,
16,25,-2,0,-11,-9,74,6241,68607,6536,65998,
-11,-5,-3,12,17,24,355,14584,98516,53949,139997,
4,22,17,23,-5,1,55,3545,62105,50379,128693,
-14,-6,-15,-10,1,3,64,3187,62694,10988,72631,
-9,7,-14,-6,-7,-7,135,11591,83686,13262,80154,
-10,0,6,16,4,5,52,4662,65017,15364,83533,
-19,-7,15,27,-10,1,50,4142,66217,95951,213071,
-5,2,12,14,12,21,254,8802,71785,14262,78846,
-1,0,-3,16,9,27,48,3790,64079,34510,114286,
-14,0,-18,-14,-18,-9,63,4983,67564,39923,113879,
-10,-10,-16,0,14,31,257,10362,90314,17418,84085,
-18,-10,14,31,-15,-13,51,3735,64415,28795,107579,
-16,-10,-12,-11,-4,6,58,3664,63779,10062,69722,
-11,8,12,19,3,12,158,10434,80590,83159,192408,
-7,7,9,13,4,21,343,10834,77823,82573,175532,
3,12,-10,7,20,23,378,16522,102253,49394,133763,
-9,-9,6,25,21,39,53,3085,61035,18816,88374,
19,34,4,18,-2,2,58,3954,64913,67729,164305,
20,40,-6,6,-12,-6,80,6291,71585,98754,211031,
11,20,21,31,10,25,57,3526,61612,89265,176675,
8,19,-12,-3,-9,6,48,3680,61851,93311,193993,
11,30,18,33,4,13,59,3690,62014,160159,315977,
-5,10,10,21,17,20,318,12971,86277,48506,138959,
-8,-7,-1,21,-15,-4,291,15593,103144,31288,105891,
-11,11,12,14,13,34,353,14533,86571,84475,189685,
13,29,2,12,22,37,261,12600,87338,209586,346658,
4,14,0,11,11,30,326,10517,84184,280576,404693,
-19,4,2,24,-18,-11,288,11603,82080,403643,629631,
12,13,-12,-11,2,5,50,3875,60522,2304,58384,
-16,-10,-11,10,7,8,73,5698,70149,21530,96079,
0,0,13,23,22,37,49,1708,60868,8798,70018,
-21,-18,5,29,-16,-11,49,3753,62723,32195,104481,
-7,-6,21,24,-23,-7,51,2933,61199,8291,69411,
-10,2,22,36,21,39,265,11002,85611,192521,358014,
-5,15,20,35,-13,-7,64,5632,68048,121561,244189,
-2,12,-2,-1,-6,14,275,10743,76889,48895,124695,
24,39,-14,3,21,27,260,18601,117698,112817,244986,
-25,-9,5,30,-23,-1,51,3775,63052,458529,812758,
24,42,12,26,17,41,64,4353,62950,350196,528804,
-7,4,-25,-14,-2,19,317,13016,85721,225528,378086,
16,18,10,22,2,7,63,3581,61589,14238,77891,
-16,5,-26,-23,0,0,159,5925,68360,10359,74107,
5,24,-9,-6,-3,1,52,3720,61779,22053,91703,
2,19,15,20,-16,1,58,3624,61885,96768,188551,
3,4,1,16,-11,7,322,7792,73612,36708,111203,
11,20,3,12,0,6,57,3339,63829,37741,114934,
11,26,-1,21,15,36,325,14582,103770,717339,1033316,
-23,-11,13,29,10,11,53,3766,62409,28094,101238,
-27,-16,0,25,2,11,51,3760,62391,146990,265461,
23,35,25,46,16,23,60,4080,63939,120214,251400,
-2,6,-23,-2,18,21,353,12841,86679,52408,141128,
-21,-13,18,37,-11,-2,50,3875,64192,86655,197460,
23,42,18,35,-24,3,56,4149,63512,499897,749454,
21,23,-5,15,-24,-18,275,10438,83029,27430,96381,
23,29,28,52,19,20,55,4076,63757,25733,98798,
8,19,23,50,-8,15,57,3735,62059,387141,630103,
29,57,-5,15,-8,5,165,9311,75501,794955,1080427,
20,22,-19,-5,5,27,56,3870,61325,49069,127168,
-29,-15,25,42,-12,10,49,3884,63354,287108,492098,
2,21,26,41,20,45,58,3693,62186,405734,620169,
-1,20,-12,-4,18,30,52,5445,67762,117477,262351,
23,38,26,32,21,22,57,4092,63195,16485,85595,
-2,6,3,20,22,22,238,20429,112080,13309,84152,
7,20,-30,-23,-29,-1,50,3827,62929,150373,272510,
-10,19,-14,10,12,32,375,38128,187574,3290562,4018681,
-22,-18,19,41,-13,12,50,3928,68728,139872,248014,
-8,-5,-28,0,-31,-17,53,4894,71395,86416,175130,
-1,12,-11,10,26,55,332,25562,136855,786688,1106382,
21,48,20,45,3,17,56,4365,62896,545024,916673,
0,16,24,24,0,13,128,5031,64863,14810,77471,
-27,-1,4,29,3,28,51,3689,65093,820847,1157802,
-24,-13,-26,-22,8,23,56,3769,63459,50486,124767,
12,44,5,35,-6,10,59,4156,63239,856341,1460000,
10,11,-8,16,7,13,270,10940,84790,21619,90335,
30,46,19,37,8,18,57,4054,63636,179736,342499,
-15,-6,5,25,28,51,50,3299,61525,228569,369460,
17,34,-19,4,12,44,349,16600,117790,1292653,1773496,
28,53,-10,12,-32,-23,276,16632,105798,394555,594920,
-13,18,-18,10,-29,1,221,10584,82210,8949498,10571571,
18,35,-33,-21,-6,26,51,4406,81622,353581,550695,
-5,3,21,25,25,46,227,9043,77351,53044,137044,
-7,-5,-21,5,13,28,322,11094,83673,80061,182869,
-13,11,-10,2,27,60,295,10237,83118,1509830,1905933,
-32,1,-5,16,-6,11,257,18023,124761,3335958,4033487,
16,47,-26,-10,5,18,52,4207,63610,354494,547092,
16,22,-29,-24,18,38,44,3849,61800,42393,116723,
-24,-20,25,28,20,41,52,3661,65310,22200,89170,
30,50,-15,11,26,26,69,5853,69805,46546,139971,
14,24,30,62,-26,-24,58,3934,61190,67386,158029,
-21,-2,0,2,-20,-11,331,15976,88293,43052,116872,
20,25,34,43,-4,8,59,3718,62454,41121,113735,
17,44,29,53,-5,-1,57,4146,63753,195431,323728,
26,28,-34,-4,-2,24,49,4006,64874,115749,221257,
15,19,-29,-28,18,20,52,3712,62024,3345,60774,
35,62,24,33,-33,3,63,4286,63063,506331,713388,
13,14,-31,-19,-10,7,55,3456,60919,23981,91462,
15,39,-28,2,-6,13,176,9657,77241,1599806,2150483,
-14,5,-36,-28,-33,-2,266,13672,94009,312458,480078,
-6,28,-20,4,26,54,215,9796,84041,3281238,4443735,
-11,2,-20,-13,2,26,267,11542,82478,170627,304363,
35,38,12,16,18,20,55,4263,62220,5452,63512,
20,40,28,63,37,48,56,4128,65056,459879,829819,
-27,-25,-34,-20,-16,1,56,4038,64358,42861,114185,
25,33,12,33,-27,-22,57,4182,63434,65122,147083,
-14,12,-38,-15,5,9,76,5846,68299,170645,380332,
-14,1,-23,-12,-38,-17,233,14389,94564,276090,401755,
-32,0,-27,-6,22,55,267,14586,99890,2923286,3839588,
34,61,35,56,4,29,55,4125,64084,781979,1041689,
39,49,2,18,22,60,61,3997,62528,354648,514359,
7,10,-27,-14,33,62,53,3873,61680,76841,166790,
17,56,-13,-6,19,43,49,3968,62665,361508,557244,
-24,-11,2,40,25,58,49,3942,63634,833521,1172597,
16,29,23,39,-21,5,57,3808,62350,312613,471754,
28,62,-27,-24,-19,14,50,4172,67509,217751,361603,
16,20,-38,-14,6,21,51,3889,62487,96600,189732,
-11,3,-26,6,22,29,272,9851,85862,328459,556259,
2,30,25,39,13,41,57,4193,62153,611468,913347,
-12,-9,-4,31,34,72,324,12943,95507,323721,538605,
-22,-11,30,71,-13,-9,49,4048,66997,130366,292314,
1,22,38,59,-11,25,57,3941,65472,881619,1160484,
6,17,-34,5,21,54,362,14979,114756,1637269,2302628,
3,5,-11,0,9,11,53,4317,69160,7560,75708,
-9,8,-3,8,-31,-10,320,12780,104462,518576,688387,
-37,-17,-22,-20,3,41,57,4174,64733,124695,215411,
-17,-2,-4,11,3,34,348,13031,93459,937390,1200613,
-21,-2,-37,-10,-39,-16,63,4236,64658,655373,882981,
-5,30,5,43,-27,-9,274,13237,96457,3284645,3557612,
-40,-37,25,38,17,29,49,4461,69288,36604,108973,
42,85,5,5,0,15,60,3558,64997,36775,108116,
6,47,-27,12,32,44,330,19438,124730,2303336,3329175,
17,31,22,33,-1,19,59,3833,63283,187092,302717,
-29,13,-30,5,-2,2,273,24775,133059,1402071,1898105,
-13,14,41,83,0,42,221,7916,74217,6619799,7953104,
39,61,-7,12,28,38,71,6311,72915,258662,438441,
31,61,41,53,7,10,57,4024,62403,96942,191405,
-42,-28,-43,-3,-37,-15,56,4414,65123,701920,937090,
31,53,19,61,-20,19,60,4232,63631,1933810,2507662,
-25,-3,-19,9,-42,-13,327,14869,112193,2418322,2843648,
-37,-21,-43,-15,-12,5,67,4497,65913,436297,768234,
11,13,-29,13,39,52,252,11182,86531,96448,223072,
-29,-22,44,50,-15,8,52,3908,63031,63004,147483,
-26,-5,16,45,42,53,50,3907,63294,372561,572683,
-20,-19,-3,5,0,33,255,11969,92484,36071,111652,
33,46,-43,-6,44,76,50,4318,64793,798074,1131172,
-34,-27,0,33,40,43,51,4425,66383,61021,151905,
-10,-10,5,12,-15,30,52,3526,60931,19356,84444,
-13,20,8,31,-6,25,243,10891,78839,3671541,4605084,
32,66,32,49,20,59,56,4570,65151,1244353,1610291,
42,57,-26,9,-31,6,151,9648,78316,1599459,1931315,
0,18,14,28,0,4,179,5655,66653,145720,247020,
0,22,-21,19,31,77,377,17029,116057,9949708,11646766,
-10,38,-46,-2,20,61,352,12348,100129,22356983,21920444,